stock_code,corp_name,induty_code
337450,에스케이제5호기업인수목적,66199
340350,에스케이제6호기업인수목적,66199
097870,효성오앤비,2031
110020,전진바이오팜,2049
254160,제이엠멀티,16101
008870,금비,23192
012250,셰프라인,25992
336570,원텍,271
329560,상상인이안제2호기업인수목적,66199
100840,SNT에너지,29176
041140,넥슨지티,5821
221610,자안바이오,20411
267320,나인테크,292
950180,에스앤케이,5821
351330,이삭엔지니어링,62021
102710,이엔에프테크놀로지,2049
270210,에스알바이오텍,20423
206640,바디텍메드,213
039670,스포츠서울,58121
221840,하이즈항공,313
289080,SV인베스트먼트,649
378850,화승알앤에이,30399
066110,한프,26329
179440,비지스틸,24199
052190,세영디앤씨,901
228180,비엘사이언스,701
270020,이십일스토어,239
317870,엔바이오니아,339
348950,제이알글로벌리츠,681
297890,HB솔루션,29272
014160,대영포장,1721
032560,황금에스티,24290
174900,앱클론,213
309900,티티씨디펜스,739
111710,남화산업,91121
021820,세원정공,303
225860,엠앤씨생명과학,20423
146320,비씨엔씨,261
330990,케이비제19호기업인수목적,661
176440,미래오토스,26224
030960,양지사,1811
009070,케이씨티시,49301
240340,인터코스,20423
185190,수프로,46204
033600,럭슬,303
284740,쿠쿠홈시스,762
241840,에이스토리,591
182690,테라셈,465
340120,하이제5호기업인수목적,66199
153360,하이골드오션3호선박투자회사,761
294630,서남,289
228670,레이,27111
000680,LS네트웍스,46800
003610,방림,132
289220,자이언트스텝,59113
018120,진로발효,11121
217320,썬테크,28111
206560,덱스터,59120
225850,미애부,464
263800,데이타솔루션,465
101490,에스앤에스텍,2629
005680,삼영전자공업,26291
000950,전방,13101
014590,지앤엘,91249
053260,금강철강,2419
025820,이구산업,24221
006890,태경케미컬,20121
080520,오디텍,2612
000050,경방,47119
071280,로체시스템즈,292
028040,미래SCI,461
123690,한국화장품,46443
054040,한국컴퓨터,2629
002920,유성기업,303
151750,테라텍,292
182360,큐브엔터,59201
160550,NEW,591
002760,보락,2049
016670,디모아,467
228850,레이언스,27111
037710,광주신세계,47111
003010,혜인,465
038010,제일테크노스,2511
106190,하이텍팜,211
051600,한전KPS,42311
027580,상보,222
035900,JYP Ent.,59201
244880,나눔테크,27199
001390,KG케미칼,201
115310,인포바인,61299
007810,코리아써키트,2622
003300,한일홀딩스,23311
011390,부산산업,233
122690,서진오토모티브,303
000760,이화산업,46731
078070,유비쿼스홀딩스,64992
109080,옵티시스,26410
036090,위지트,29272
236200,슈프리마,26410
194370,제이에스코퍼레이션,15121
051160,지어소프트,58221
042420,네오위즈홀딩스,582
064960,SNT모티브,303
004910,조광페인트,20411
253590,네오셈,292
083310,엘오티베큠,29271
357250,미래에셋맵스리츠,681
009270,신원,14112
093380,풍강,259
105740,디케이락,29133
049720,고려신용정보,75993
001770,SHD,24199
002360,SH에너지화학,201
108380,대양전기공업,31114
009720,한국전기초자,231
075130,플랜티넷,620
302430,이노메트리,29299
141070,맥스로텍,292
058610,에스피지,28111
177830,파버나인,2629
036010,아비코전자,26294
114570,지스마트글로벌,468
136480,하림,1012
123410,코리아에프티,303
001530,디아이동일,46103
099430,바이오플러스,211
083500,에프엔에스테크,29272
005360,모나미,46452
003200,일신방직,13101
065940,바이오빌,20132
131220,대한과학,4659
024120,KB오토시스,303
204020,그리티,14120
007540,샘표,64992
002310,아세아제지,172
417180,핑거스토리,63991
004890,동일산업,24113
057030,YBM넷,857
051370,인터플렉스,2622
000650,천일고속,49220
073070,에이팸,303
122640,예스티,29271
204630,스튜디오산타클로스,901
005740,크라운해태홀딩스,64992
031330,에스에이엠티,4659
100030,인지소프트,58222
085670,뉴프렉스,2622
036810,에프에스티,2629
011370,서한,41112
196700,웹스,20203
084850,아이티엠반도체,2629
252500,세화피앤씨,204
006730,서부T&D,551
019540,일지테크,303
053610,프로텍,29271
173940,에프엔씨엔터,901
141000,비아트론,29272
